content,服务人员言语傲慢/讽刺车主,服务人员说话语气生硬,服务人员未微笑服务,服务人员打断客户讲话,未及时接待客户,不主动为客户提供服务,推诿/回避客户提出的疑问,言语威胁客户/与客户发生争执,不主动通知客户配件到货信息/维修进度信息,不重视客户的需求/客户需求响应很慢,服务热线无人接听,不及时通知客户相关活动信息,不对客户进行回访/联系/未对客户进行保养预约提醒,客户维修保养过程中丢失财务,未用通俗易懂语言解释,未对保养项目进行解释,增项的产生没有征求客户意见,建议的保养套餐未向客户进行解释/征求车主意见,没有解释维修保养费用构成/价格收费不透明,没有提供清楚的保养项目单据（委托书/结算单/免费检查单等）,预估的价格不准,过度营销,解释语速过快/没听清楚,解释不够详细/全面,未主动解释保养工作,对车辆使用方面的问题解释模糊/乱解释,对维修方面的问题解释模糊/乱解释,对保养方面的问题解释模糊/乱解释,对零配件方面的问题解释模糊/乱解释,对增值服务方面的问题解释模糊/乱解释（延保、保险等）,回避车辆出现的问题（有问题说没问题/正常的）,没有给与合理的技术建议/维修保养建议/车辆使用建议,工作人员为缺乏经验的实习人员或学徒工,无法履行答应客户的承诺,无法履行答应客户的承诺.1,折扣券的使用与介绍的标准不一致,赠送的服务与介绍的标准不一致,会员卡/充值卡的使用标准与介绍的不一致,管理人员更换后，对原来的服务承诺发生变更,客休区嘈杂,没有提供午餐,客休区装修/无客休区,休息区设施较少,休息区设施破旧/损坏，电视/电脑故障,休息区温度太冷/太热/通风不好,休息区地方太小,休息区网络信号不稳定,休息区不干净/蚊虫较多,卫生间不干净/有异味/设施破损,休息区人员服务不主动/没有服务人员,饮料/点心品种较少，没有饮料/点心,客休区光线不佳,客休区吸烟,未告知车主客休区位置,客休区设施不舒适/不便捷,客休区整体环境一般不干净,提供的伙食质量不佳,进店排队等待时间太久,开单时间太久,维修保养时间太长,维修保养后提车时间太长,结算时间太长,洗车等待时间太久,离店排队时间太长,预约安排抱怨,服务人员效率低,服务秩序混乱/衔接不好,经销商人手短缺,没有提前告知维修保养时间,未在规定时间内完成维修保养,过度保养/过度维修,没有发现车辆问题,没有修复车辆问题/部分修复,维修后出现其他问题,对客户车辆造成额外损坏,配件缺货，导致没有修复,使用劣质或错误的配件/装潢件或附件为旧货或残次品/非原厂配件,油漆工艺效果不好/有色差/斑点,保养后未消除保养提示,没有对车辆进行防护,对于没有解决的问题说已经解决,工作流程未按规范操作/提供的标准低于规范标准,工作人员不负责任/简单应付,没有为客户提供免费检查服务,没有展示旧件,材料浪费（机油）,因为相同问题多次维修,对维修/保养质量有异议,车身没有洗干净,轮毂没有洗干净,车身没有擦干,车内配件/配饰未复位,里面没有清洁干净（灰尘、垃圾等）,经销商没提供洗车服务,洗车设备不完善,洗车地方太远,洗车地方太远.1,非本人评分,误操作,无不满意,无评价,系统原因无法正常评分,价格贵（工时费/配件/整体价格）,产品质量,没有看到保养过程,回复笼统,暂时无法归类,没有去客休区/洗车/该项未涉及,保险理赔问题,售前问题
洗的不是很干净，没有想象的干净,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
星期六去的，说好下周二拿车，去了却没修好，说让等通知后，一个星期才修好，耽误用车,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
外观和车辆内室没有清洗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
等待的时间太长，工作人员太少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
洗车不是洗的特别干净,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
里面没清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
洗车没洗干净,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
维修太久了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
我主要还是针对这个原因，我也没有在现场，态度还是挺好的，预估时间偏差太长了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
因为可能比较忙，没有每个细节做的很到位,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
